State,state_ansi,Year,commodity,total_production,unit,short_desc,load_time,source_file,source
ALABAMA,1,1931,Milk,1167000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
ARIZONA,4,1931,Milk,200000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
ARKANSAS,5,1931,Milk,1167000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
CALIFORNIA,6,1931,Milk,4052000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
COLORADO,8,1931,Milk,1062000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
CONNECTICUT,9,1931,Milk,619000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
DELAWARE,10,1931,Milk,126000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
FLORIDA,12,1931,Milk,251000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
GEORGIA,13,1931,Milk,1068000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
IDAHO,16,1931,Milk,1027000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
ILLINOIS,17,1931,Milk,4727000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
INDIANA,18,1931,Milk,3085000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
IOWA,19,1931,Milk,5948000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
KANSAS,20,1931,Milk,3215000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
KENTUCKY,21,1931,Milk,1809000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
LOUISIANA,22,1931,Milk,552000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MAINE,23,1931,Milk,663000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MARYLAND,24,1931,Milk,770000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MASSACHUSETTS,25,1931,Milk,755000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MICHIGAN,26,1931,Milk,4217000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MINNESOTA,27,1931,Milk,7727000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MISSISSIPPI,28,1931,Milk,1287000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MISSOURI,29,1931,Milk,3627000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
MONTANA,30,1931,Milk,743000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
NEBRASKA,31,1931,Milk,2864000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
NEVADA,32,1931,Milk,108000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
NEW HAMPSHIRE,33,1931,Milk,379000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
NEW JERSEY,34,1931,Milk,736000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
NEW MEXICO,35,1931,Milk,228000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
NEW YORK,36,1931,Milk,7367000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
NORTH CAROLINA,37,1931,Milk,1162000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
NORTH DAKOTA,38,1931,Milk,2268000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
OHIO,39,1931,Milk,4278000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
OKLAHOMA,40,1931,Milk,2366000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
OREGON,41,1931,Milk,1307000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
PENNSYLVANIA,42,1931,Milk,4427000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
RHODE ISLAND,44,1931,Milk,132000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
SOUTH CAROLINA,45,1931,Milk,526000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
SOUTH DAKOTA,46,1931,Milk,2180000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
TENNESSEE,47,1931,Milk,1648000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
TEXAS,48,1931,Milk,3858000000.0,LB,"MILK - PRODUCTION, MEASURED IN LB",2012-01-01 00:00:00,qs.animals_products_20260605.txt.gz,USDA NASS QuickStats bulk export
