State,commodity,status,existing_total_production,downloaded_total_production,difference,pct_difference,within_absolute_tolerance,downloaded_unit,downloaded_short_desc,downloaded_load_time,downloaded_source
NEBRASKA,Milk,downloaded_only,,1416000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
NEVADA,Honey,downloaded_only,,121005.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
NEVADA,Milk,downloaded_only,,794000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
NEW HAMPSHIRE,Honey,downloaded_only,,158122.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
NEW HAMPSHIRE,Milk,downloaded_only,,219000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
NEW JERSEY,Cheese,matched,61780000.0,61779000.0,-1000.0,-0.0016186468112657818,False,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
NEW JERSEY,Honey,matched,624000.0,636431.0,12431.0,1.9921474358974358,False,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
NEW JERSEY,Milk,downloaded_only,,88000000.0,,,,LB,"MILK - PRODUCTION, MEASURED IN LB",2024-04-23 15:00:00.000,USDA NASS QuickStats
NEW MEXICO,Cheese,matched,970738000.0,970738000.0,0.0,0.0,True,LB,"CHEESE - PRODUCTION, MEASURED IN LB",2025-04-25 15:00:00.000,USDA NASS QuickStats
NEW MEXICO,Honey,downloaded_only,,342073.0,,,,LB,"HONEY - PRODUCTION, MEASURED IN LB",2024-07-02 12:00:00.000,USDA NASS QuickStats
