State,commodity,latest_observed_year,forecast_year,latest_observed_production,model,forecast_production,pi_80_lower,pi_80_upper,pi_95_lower,pi_95_upper,interval_method,forecast_generated_at
OHIO,Milk,2023,2024,5658000000.0,random_forest,5541786218.839932,5213050297.393262,5895949843.470882,4758466284.960593,6391571754.625592,rf_quantile,2026-06-07T16:52:29.570130+00:00
OKLAHOMA,Honey,2022,2023,234008.0,random_forest,202378.8201083431,137614.63110457663,293564.83540347376,110101.84599362155,343019.08610693854,rf_quantile,2026-06-07T16:52:29.570130+00:00
OKLAHOMA,Milk,2023,2024,690000000.0,random_forest,670868186.5576771,610282228.3994071,724651286.6017828,520636409.69222826,749818578.2357123,rf_quantile,2026-06-07T16:52:29.570130+00:00
OREGON,Honey,2023,2024,3330000.0,random_forest,3603326.6998549784,2478751.658772679,4388583.612976847,2083525.1724237644,43980668.13594988,rf_quantile,2026-06-07T16:52:29.570130+00:00
OREGON,Milk,2023,2024,2554000000.0,random_forest,2556180110.4950867,2437279422.0199957,2697804033.02441,2277410691.936344,2838496653.7201567,rf_quantile,2026-06-07T16:52:29.570130+00:00
PENNSYLVANIA,Cheese,2023,2024,521050000.0,random_forest,520167910.27653676,409369257.81311816,648209814.1109506,388724479.7076195,781935971.9657202,rf_quantile,2026-06-07T16:52:29.570130+00:00
PENNSYLVANIA,Honey,2023,2024,1100000.0,random_forest,1448964.9108606975,887664.9134387538,2014427.3030835486,769007.3803459556,19586367.029823318,rf_quantile,2026-06-07T16:52:29.570130+00:00
PENNSYLVANIA,Milk,2023,2024,9859000000.0,random_forest,10226607307.123953,9623092433.867678,10815077762.558615,8727925550.357145,11635225567.216747,rf_quantile,2026-06-07T16:52:29.570130+00:00
RHODE ISLAND,Honey,2022,2023,68208.0,random_forest,78818.85728716,26141.263023191605,241663.86061369535,19065.27419756379,384190.73398205277,rf_quantile,2026-06-07T16:52:29.570130+00:00
RHODE ISLAND,Milk,2023,2024,9600000.0,random_forest,9483976.498493029,5156337.449118934,15972179.254770165,3243455.4861722016,19121857.977816556,rf_quantile,2026-06-07T16:52:29.570130+00:00
SOUTH CAROLINA,Honey,2023,2024,572000.0,random_forest,544032.539414765,367861.79346554325,838623.7213831929,278664.79334305483,1024068.719163771,rf_quantile,2026-06-07T16:52:29.570130+00:00
SOUTH CAROLINA,Milk,2023,2024,148000000.0,random_forest,144692922.41359964,129673611.18583047,157942295.86484775,115459167.18832934,245967477.52510935,rf_quantile,2026-06-07T16:52:29.570130+00:00
SOUTH DAKOTA,Cheese,2022,2023,533229000.0,random_forest,487656743.04914397,349034206.30771935,636435565.5000174,265964646.34467176,728393719.3024349,rf_quantile,2026-06-07T16:52:29.570130+00:00
SOUTH DAKOTA,Honey,2023,2024,18270000.0,random_forest,16147127.851479279,10337963.165927716,22369731.304167345,8105566.186310791,73719479.82223001,rf_quantile,2026-06-07T16:52:29.570130+00:00
SOUTH DAKOTA,Milk,2023,2024,4488000000.0,random_forest,4180683765.7371883,3610494446.0805316,4725129310.384601,2664425504.9006286,5101365064.369885,rf_quantile,2026-06-07T16:52:29.570130+00:00
TENNESSEE,Honey,2023,2024,480000.0,random_forest,580989.0518584576,318331.42463397,832258.9777616505,273740.4861341302,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
TENNESSEE,Milk,2023,2024,467000000.0,random_forest,470823770.3142213,389334702.97406214,636009369.8048606,338194063.1672097,719687947.6810269,rf_quantile,2026-06-07T16:52:29.570130+00:00
TEXAS,Honey,2023,2024,3885000.0,random_forest,6317202.015690074,3628247.611177124,9038714.155371632,2103419.35864248,43980668.13594988,rf_quantile,2026-06-07T16:52:29.570130+00:00
TEXAS,Milk,2023,2024,16565000000.0,random_forest,16691189764.153252,12310265903.452839,24667243915.26008,10369929034.73478,31790265085.98729,rf_quantile,2026-06-07T16:52:29.570130+00:00
UTAH,Honey,2023,2024,1008000.0,random_forest,1194657.862738311,763430.1629311125,1472565.4569300248,646302.8482198666,23231766.807310574,rf_quantile,2026-06-07T16:52:29.570130+00:00
UTAH,Milk,2023,2024,2086000000.0,random_forest,2157245722.0035152,2023417685.8531077,2308655455.906734,1903435068.6310277,2510944591.7492323,rf_quantile,2026-06-07T16:52:29.570130+00:00
VERMONT,Cheese,2023,2024,141930000.0,random_forest,145971447.95070165,121064431.01814817,174211501.56067,104880831.73688285,209612093.97780514,rf_quantile,2026-06-07T16:52:29.570130+00:00
VERMONT,Honey,2023,2024,294000.0,random_forest,430212.0524776187,228987.14797149468,580359.0789445412,187893.77656439997,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
VERMONT,Milk,2023,2024,2536000000.0,random_forest,2539336032.6844125,2429449310.6590695,2697587213.6529164,2017537937.6666112,2741443442.819683,rf_quantile,2026-06-07T16:52:29.570130+00:00
VIRGINIA,Honey,2023,2024,195000.0,random_forest,337450.79874919367,174125.01608956934,538321.3990963831,144570.7258070687,16935717.9166953,rf_quantile,2026-06-07T16:52:29.570130+00:00
VIRGINIA,Milk,2023,2024,1420000000.0,random_forest,1444463644.3735502,1336218818.5282595,1654754177.5148396,1247876103.8745449,1758634126.2500653,rf_quantile,2026-06-07T16:52:29.570130+00:00
WASHINGTON,Honey,2023,2024,2241000.0,random_forest,3068684.8597126426,2097587.5034671384,3722271.435269949,1866346.4499181327,23231766.807310574,rf_quantile,2026-06-07T16:52:29.570130+00:00
WASHINGTON,Milk,2023,2024,6227000000.0,random_forest,6572231098.0029,5941393775.874904,7060699344.472238,5517684048.043469,8161113353.457809,rf_quantile,2026-06-07T16:52:29.570130+00:00
WEST VIRGINIA,Honey,2023,2024,306000.0,random_forest,422441.85981169814,203179.33469037173,569629.4787407217,183102.31889067678,19586367.029823318,rf_quantile,2026-06-07T16:52:29.570130+00:00
WEST VIRGINIA,Milk,2023,2024,67000000.0,random_forest,68840233.55175433,44855902.05571968,116378336.17560019,25336589.258994896,132433169.54805821,rf_quantile,2026-06-07T16:52:29.570130+00:00
WISCONSIN,Cheese,2023,2024,3517903000.0,random_forest,3937148581.8863845,3122539742.789058,6004450290.592665,2612373982.6133013,16422335805.88956,rf_quantile,2026-06-07T16:52:29.570130+00:00
WISCONSIN,Honey,2023,2024,2790000.0,random_forest,3330336.2779222815,2327273.490243328,3992629.6608710336,1729939.5937845693,43980668.13594988,rf_quantile,2026-06-07T16:52:29.570130+00:00
WISCONSIN,Milk,2023,2024,32123000000.0,random_forest,31196021447.24218,28538527730.36093,37104657044.433464,26372647174.982674,40522899588.4238,rf_quantile,2026-06-07T16:52:29.570130+00:00
WYOMING,Honey,2023,2024,2106000.0,random_forest,2344827.045967719,1502092.0043827468,3046780.94258379,1252207.3737266613,27066110.852500223,rf_quantile,2026-06-07T16:52:29.570130+00:00
WYOMING,Milk,2023,2024,243900000.0,random_forest,217093962.32230508,164460506.21339267,260479590.52794886,139621878.06858456,303219070.09527856,rf_quantile,2026-06-07T16:52:29.570130+00:00
