State,Year,commodity,total_production
NORTH CAROLINA,1934,Milk,1252000000.0
NORTH DAKOTA,1934,Milk,1968000000.0
OHIO,1934,Milk,4301000000.0
OKLAHOMA,1934,Milk,2286000000.0
OREGON,1934,Milk,1323000000.0
PENNSYLVANIA,1934,Milk,4356000000.0
RHODE ISLAND,1934,Milk,128000000.0
SOUTH CAROLINA,1934,Milk,542000000.0
SOUTH DAKOTA,1934,Milk,1668000000.0
TENNESSEE,1934,Milk,1712000000.0
TEXAS,1934,Milk,3738000000.0
UTAH,1934,Milk,518000000.0
VERMONT,1934,Milk,1284000000.0
VIRGINIA,1934,Milk,1332000000.0
WASHINGTON,1934,Milk,1798000000.0
WEST VIRGINIA,1934,Milk,806000000.0
WISCONSIN,1934,Milk,10659000000.0
WYOMING,1934,Milk,265000000.0
ALABAMA,1935,Milk,1232000000.0
ARIZONA,1935,Milk,224000000.0
ARKANSAS,1935,Milk,1224000000.0
CALIFORNIA,1935,Milk,4151000000.0
COLORADO,1935,Milk,912000000.0
CONNECTICUT,1935,Milk,618000000.0
DELAWARE,1935,Milk,126000000.0
FLORIDA,1935,Milk,290000000.0
GEORGIA,1935,Milk,1071000000.0
IDAHO,1935,Milk,1043000000.0
ILLINOIS,1935,Milk,4873000000.0
INDIANA,1935,Milk,3049000000.0
IOWA,1935,Milk,6009000000.0
KANSAS,1935,Milk,3075000000.0
KENTUCKY,1935,Milk,1946000000.0
LOUISIANA,1935,Milk,578000000.0
MAINE,1935,Milk,632000000.0
MARYLAND,1935,Milk,772000000.0
MASSACHUSETTS,1935,Milk,767000000.0
MICHIGAN,1935,Milk,4257000000.0
MINNESOTA,1935,Milk,7384000000.0
MISSISSIPPI,1935,Milk,1299000000.0
MISSOURI,1935,Milk,3363000000.0
MONTANA,1935,Milk,693000000.0
NEBRASKA,1935,Milk,2689000000.0
NEVADA,1935,Milk,106000000.0
NEW HAMPSHIRE,1935,Milk,378000000.0
NEW JERSEY,1935,Milk,858000000.0
NEW MEXICO,1935,Milk,231000000.0
NEW YORK,1935,Milk,6874000000.0
NORTH CAROLINA,1935,Milk,1245000000.0
NORTH DAKOTA,1935,Milk,1951000000.0
OHIO,1935,Milk,4356000000.0
OKLAHOMA,1935,Milk,2275000000.0
OREGON,1935,Milk,1329000000.0
PENNSYLVANIA,1935,Milk,4472000000.0
RHODE ISLAND,1935,Milk,132000000.0
SOUTH CAROLINA,1935,Milk,538000000.0
SOUTH DAKOTA,1935,Milk,1603000000.0
TENNESSEE,1935,Milk,1754000000.0
TEXAS,1935,Milk,3741000000.0
UTAH,1935,Milk,494000000.0
VERMONT,1935,Milk,1341000000.0
VIRGINIA,1935,Milk,1362000000.0
WASHINGTON,1935,Milk,1866000000.0
WEST VIRGINIA,1935,Milk,838000000.0
WISCONSIN,1935,Milk,10921000000.0
WYOMING,1935,Milk,263000000.0
ALABAMA,1936,Milk,1203000000.0
ARIZONA,1936,Milk,228000000.0
ARKANSAS,1936,Milk,1235000000.0
CALIFORNIA,1936,Milk,4218000000.0
COLORADO,1936,Milk,974000000.0
CONNECTICUT,1936,Milk,625000000.0
DELAWARE,1936,Milk,130000000.0
FLORIDA,1936,Milk,321000000.0
GEORGIA,1936,Milk,1054000000.0
IDAHO,1936,Milk,1071000000.0
ILLINOIS,1936,Milk,4814000000.0
INDIANA,1936,Milk,3013000000.0
IOWA,1936,Milk,6052000000.0
KANSAS,1936,Milk,2861000000.0
KENTUCKY,1936,Milk,1845000000.0
LOUISIANA,1936,Milk,588000000.0
MAINE,1936,Milk,626000000.0
MARYLAND,1936,Milk,784000000.0
MASSACHUSETTS,1936,Milk,770000000.0
MICHIGAN,1936,Milk,4465000000.0
MINNESOTA,1936,Milk,7745000000.0
MISSISSIPPI,1936,Milk,1303000000.0
MISSOURI,1936,Milk,3014000000.0
MONTANA,1936,Milk,649000000.0
NEBRASKA,1936,Milk,2623000000.0
NEVADA,1936,Milk,108000000.0
NEW HAMPSHIRE,1936,Milk,372000000.0
NEW JERSEY,1936,Milk,874000000.0
NEW MEXICO,1936,Milk,244000000.0
NEW YORK,1936,Milk,7128000000.0
NORTH CAROLINA,1936,Milk,1274000000.0
NORTH DAKOTA,1936,Milk,1919000000.0
OHIO,1936,Milk,4389000000.0
OKLAHOMA,1936,Milk,2186000000.0
OREGON,1936,Milk,1333000000.0
PENNSYLVANIA,1936,Milk,4532000000.0
RHODE ISLAND,1936,Milk,129000000.0
SOUTH CAROLINA,1936,Milk,551000000.0
SOUTH DAKOTA,1936,Milk,1640000000.0
TENNESSEE,1936,Milk,1717000000.0
TEXAS,1936,Milk,4011000000.0
UTAH,1936,Milk,509000000.0
